dataset,noise_mode,noise_axis,noise_level,ctr,train_size,metric,opc,no_propensity,delta,delta_std,lift_pct,n_seeds,initial_reward,delta_se
ml,kmeans_templates,combined,low,0.05,25000,oracle,0.0496099872412552,0.0499580859021522,-0.00034809866089700187,0.0001581880421031102,-0.6967515558937384,5,0.04925650364012006,7.074384307403063e-05
ml,kmeans_templates,combined,low,0.05,25000,selected,0.04932526443665736,0.04988978859513382,-0.0005645241584764607,0.00023083944636513611,-1.1316028838587182,5,0.04925650364012006,0.00010323453879217221
ml,kmeans_templates,combined,low,0.05,50000,mean_trials,0.04920455926669192,0.04989540184872634,-0.0006908425820344205,0.00015927127298000053,-1.3844859194112662,5,0.04925650364012006,7.122827864924134e-05
ml,kmeans_templates,combined,low,0.05,50000,oracle,0.04959060098877674,0.04996423174282176,-0.00037363075404501925,0.00019862770550876498,-0.7478226624171833,5,0.04925650364012006,8.882901034648159e-05
ml,kmeans_templates,combined,low,0.05,50000,selected,0.04922363629891796,0.04994207988149072,-0.0007184435825727586,0.00012192803416835157,-1.438525637722702,5,0.04925650364012006,5.452787455267023e-05
ml,kmeans_templates,combined,low,0.05,100000,mean_trials,0.04934757524906951,0.049934962686247475,-0.0005873874371779594,6.892357237449507e-05,-1.1763117984477691,5,0.04925650364012006,3.082355861629951e-05
ml,kmeans_templates,combined,low,0.05,100000,oracle,0.04959412640989306,0.04997043533055308,-0.00037630892066002066,7.646856868645887e-05,-0.7530729657134004,5,0.04925650364012006,3.419778354500677e-05
ml,kmeans_templates,combined,low,0.05,100000,selected,0.04938594631571268,0.04996277220842578,-0.0005768258927130981,0.00011635588766394684,-1.1545153945302924,5,0.04925650364012006,5.203593487978287e-05
ml,kmeans_templates,combined,medium,0.05,5000,mean_trials,0.048345468520972705,0.0488136635313711,-0.0004681950103983923,0.00023074137639582506,-0.9590183683385028,5,0.048162432962907994,0.00010319068056858604
ml,kmeans_templates,combined,medium,0.05,5000,oracle,0.04914162083309444,0.04941757249931688,-0.00027595166622244177,0.0002849181013891584,-0.5579722445837328,5,0.048162432962907994,0.00012741924854526708
ml,kmeans_templates,combined,medium,0.05,5000,selected,0.04855696443446666,0.049264890134238334,-0.0007079256997716804,0.00030808276865565133,-1.437202062948852,5,0.048162432962907994,0.00013777880268207556
ml,kmeans_templates,combined,medium,0.05,25000,mean_trials,0.04826389340425583,0.0492526400336078,-0.000988746629351965,0.00023481319036924538,-2.007646990678873,5,0.048162432962907994,0.00010501165113584632
ml,kmeans_templates,combined,medium,0.05,25000,oracle,0.04904732023447006,0.04980731318474878,-0.000759992950278722,0.00021370305821714168,-1.5257008779508578,5,0.048162432962907994,9.557091303462476e-05
ml,kmeans_templates,combined,medium,0.05,25000,selected,0.04852716431179174,0.04947215385040324,-0.0009449895386114973,0.00032439995259517864,-1.9100851376848325,5,0.048162432962907994,0.00014507606918010574
ml,kmeans_templates,combined,medium,0.05,50000,mean_trials,0.048355636208987494,0.04958417702079703,-0.0012285408118095377,0.00020176959345912266,-2.478063079601718,5,0.048162432962907994,9.023410535341904e-05
ml,kmeans_templates,combined,medium,0.05,50000,oracle,0.049133757993533624,0.04986733330489144,-0.0007335753113578188,0.000362543059257518,-1.4712753492684654,5,0.048162432962907994,0.00016213418505410892
ml,kmeans_templates,combined,medium,0.05,50000,selected,0.04838868918457686,0.0497218033720834,-0.0013331141875065427,0.00042505762597052054,-2.6816205172132386,5,0.048162432962907994,0.0001900915492049528
ml,kmeans_templates,combined,medium,0.05,100000,mean_trials,0.048517126847324496,0.04974539165232761,-0.0012282648050031138,0.00019575313044598963,-2.469206369652883,5,0.048162432962907994,8.75434612971233e-05
ml,kmeans_templates,combined,medium,0.05,100000,oracle,0.049236136115775396,0.04988557399049568,-0.0006494378747202781,0.00022771691574252493,-1.3020710685661272,5,0.048162432962907994,0.00010183810064537555
ml,kmeans_templates,combined,medium,0.05,100000,selected,0.04864703278821666,0.0497951902399675,-0.0011481574517508391,0.00043482946265338925,-2.304942585535227,5,0.048162432962907994,0.00019446164742253688
ml,kmeans_templates,context,brutal,0.05,5000,mean_trials,0.04800436836320835,0.04837363008196883,-0.00036926171876047883,0.0003953124996708331,-0.770043348301204,5,0.04789342746866382,0.0001767891243238692
