dataset,noise_mode,noise_axis,noise_level,ctr,train_size,seed,metric,no_propensity,opc,delta,lift_pct,initial_reward
ml,kmeans_templates,action,high,0.05,50000,3,oracle,0.049849865682046,0.048944115943182,-0.0009057497388640021,-1.816955224395355,0.0481926027612877
ml,kmeans_templates,action,high,0.05,50000,3,selected,0.0497801189573697,0.0482026737525496,-0.001577445204820102,-3.1688257036327734,0.0481926027612877
ml,kmeans_templates,action,high,0.05,50000,4,mean_trials,0.049540490954190136,0.04838670874624554,-0.001153782207944598,-2.328968053650286,0.04838807517565
ml,kmeans_templates,action,high,0.05,50000,4,oracle,0.0497885273436273,0.0489345109238115,-0.0008540164198157993,-1.7152875680005615,0.04838807517565
ml,kmeans_templates,action,high,0.05,50000,4,selected,0.0497251946989309,0.0485794991144399,-0.0011456955844909994,-2.304054496775318,0.04838807517565
ml,kmeans_templates,action,high,0.05,100000,0,mean_trials,0.04965361492700969,0.048436114613214426,-0.001217500313795264,-2.451987263334154,0.0482957077058575
ml,kmeans_templates,action,high,0.05,100000,0,oracle,0.0498845286632945,0.0492041173308176,-0.000680411332476899,-1.363972659879118,0.0482957077058575
ml,kmeans_templates,action,high,0.05,100000,0,selected,0.0498748842779009,0.0484723858029974,-0.0014024984749035005,-2.8120335419503615,0.0482957077058575
ml,kmeans_templates,action,high,0.05,100000,1,mean_trials,0.04964993019855376,0.048433446719727324,-0.0012164834788264342,-2.450121226679728,0.048376614634751
ml,kmeans_templates,action,high,0.05,100000,1,oracle,0.0498447878746194,0.0488024652665948,-0.0010423226080246012,-2.0911366112069345,0.048376614634751
ml,kmeans_templates,action,high,0.05,100000,1,selected,0.0498536399414113,0.0483727506750217,-0.001480889266389604,-2.970473706894754,0.048376614634751
