dataset,noise_mode,noise_axis,noise_level,ctr,train_size,seed,method,reward,initial_reward,metric
ml,kmeans_templates,action,medium,0.05,5000,2,opc,0.0489494979954163,0.048996904473098,selected
ml,kmeans_templates,action,medium,0.05,5000,3,no_propensity,0.0498969249958109,0.0489256006287711,selected
ml,kmeans_templates,action,medium,0.05,5000,3,opc,0.0486571825504755,0.0489256006287711,selected
ml,kmeans_templates,action,medium,0.05,5000,4,no_propensity,0.0497475649893007,0.0489931279488378,selected
ml,kmeans_templates,action,medium,0.05,5000,4,opc,0.048902484499991,0.0489931279488378,selected
ml,kmeans_templates,action,medium,0.05,25000,0,no_propensity,0.0494799639509727,0.0489544608348695,selected
ml,kmeans_templates,action,medium,0.05,25000,0,opc,0.0489319730151329,0.0489544608348695,selected
ml,kmeans_templates,action,medium,0.05,25000,1,no_propensity,0.0496693549516514,0.0489734201804317,selected
ml,kmeans_templates,action,medium,0.05,25000,1,opc,0.0491185282203744,0.0489734201804317,selected
ml,kmeans_templates,action,medium,0.05,25000,2,no_propensity,0.0498759985851298,0.048996904473098,selected
ml,kmeans_templates,action,medium,0.05,25000,2,opc,0.0489199110496503,0.048996904473098,selected
ml,kmeans_templates,action,medium,0.05,25000,3,no_propensity,0.0495765546495012,0.0489256006287711,selected
ml,kmeans_templates,action,medium,0.05,25000,3,opc,0.0489472404740851,0.0489256006287711,selected
ml,kmeans_templates,action,medium,0.05,25000,4,no_propensity,0.0496242069118906,0.0489931279488378,selected
ml,kmeans_templates,action,medium,0.05,25000,4,opc,0.0490481294277582,0.0489931279488378,selected
ml,kmeans_templates,action,medium,0.05,50000,0,no_propensity,0.0497067608345716,0.0489544608348695,selected
ml,kmeans_templates,action,medium,0.05,50000,0,opc,0.0485043378861681,0.0489544608348695,selected
ml,kmeans_templates,action,medium,0.05,50000,1,no_propensity,0.0496898670250805,0.0489734201804317,selected
ml,kmeans_templates,action,medium,0.05,50000,1,opc,0.049017776675036,0.0489734201804317,selected
ml,kmeans_templates,action,medium,0.05,50000,2,no_propensity,0.0498224128794305,0.048996904473098,selected
ml,kmeans_templates,action,medium,0.05,50000,2,opc,0.0489689077294964,0.048996904473098,selected
ml,kmeans_templates,action,medium,0.05,50000,3,no_propensity,0.049955482883929,0.0489256006287711,selected
ml,kmeans_templates,action,medium,0.05,50000,3,opc,0.0489457599452207,0.0489256006287711,selected
ml,kmeans_templates,action,medium,0.05,50000,4,no_propensity,0.0498961545704284,0.0489931279488378,selected
ml,kmeans_templates,action,medium,0.05,50000,4,opc,0.0449818540663401,0.0489931279488378,selected
ml,kmeans_templates,action,medium,0.05,100000,0,no_propensity,0.0499435576212907,0.0489544608348695,selected
ml,kmeans_templates,action,medium,0.05,100000,0,opc,0.0492102930178857,0.0489544608348695,selected
ml,kmeans_templates,action,medium,0.05,100000,1,no_propensity,0.0499335949347021,0.0489734201804317,selected
ml,kmeans_templates,action,medium,0.05,100000,1,opc,0.0489988543242512,0.0489734201804317,selected
ml,kmeans_templates,action,medium,0.05,100000,2,no_propensity,0.049922381942644,0.048996904473098,selected
ml,kmeans_templates,action,medium,0.05,100000,2,opc,0.0490303455159346,0.048996904473098,selected
ml,kmeans_templates,action,medium,0.05,100000,3,no_propensity,0.0499489797437299,0.0489256006287711,selected
ml,kmeans_templates,action,medium,0.05,100000,3,opc,0.0493835225581197,0.0489256006287711,selected
ml,kmeans_templates,action,medium,0.05,100000,4,no_propensity,0.0497996894644013,0.0489931279488378,selected
ml,kmeans_templates,action,medium,0.05,100000,4,opc,0.0490544697729167,0.0489931279488378,selected
ml,kmeans_templates,combined,brutal,0.05,5000,0,no_propensity,0.0455148106549875,0.0453757151109518,selected
