dataset,noise_mode,noise_axis,noise_level,train_size,metric,reward,initial_reward,ctr,pct_vs_logging,pct_vs_ctr,restored_ctr,reward_over_ctr,action_delta,context_delta,conv_dr,conv_sndr,struggle,struggle_worse_than_logging,struggle_low_restore,n_seeds,reward_std,restored_ctr_std,pct_vs_logging_std,reward_se,restored_ctr_se
ml,kmeans_templates,action,low,50000,selected,0.049466759206331826,0.04941795061153628,0.05,0.0987605910737865,-1.0664815873363627,0.0843152207160614,0.9893351841266365,0.2153620064258575,0.204351270198822,0.051360411196947064,0.05137081295251842,True,0.4,0.8,5,0.00011045723566811881,0.1866408036981676,0.2197875163895551,4.939797751212561e-05,0.08346830488885938
ml,kmeans_templates,action,low,100000,mean_trials,0.04944048247120685,0.04941795061153628,0.05,0.04559806646241253,-1.1190350575862984,0.03845315885972274,0.9888096494241371,,,,,True,0.4,1.0,5,4.564415751200945e-05,0.0822229455534412,0.09674358920559832,2.041268779451216e-05,0.03677121911355172
ml,kmeans_templates,action,low,100000,oracle,0.04963919722405524,0.04941795061153628,0.05,0.4477118784508508,-0.7216055518895259,0.37963114702755474,0.9927839444811047,,,,,False,0.0,0.2,5,6.654907592188255e-05,0.1178364146206748,0.14073050982088134,2.9761651520224772e-05,0.05269804666333579
ml,kmeans_templates,action,low,100000,selected,0.04945483874829098,0.04941795061153628,0.05,0.07464085652135895,-1.090322503418045,0.06369277087988272,0.9890967749658195,0.17497759312391276,0.15061951130628584,0.04964447543025014,0.049644263088703115,True,0.4,1.0,5,4.339754622604761e-05,0.06893614962620077,0.08095716062624726,1.940797268362638e-05,0.030829183334256327
ml,kmeans_templates,action,medium,5000,mean_trials,0.04899031951019936,0.04896870281320162,0.05,0.04423222816800141,-2.019360979601287,0.01902071231678436,0.9798063902039871,,,,,True,0.6,1.0,5,0.00012698633920782542,0.1368229287490448,0.29283881299401293,5.679001733650889e-05,0.06118907391269489
ml,kmeans_templates,action,medium,5000,oracle,0.04932764129517098,0.04896870281320162,0.05,0.7330671203028821,-1.3447174096580443,0.34672658603964657,0.9865528259034196,,,,,False,0.0,0.2,5,0.00020931232482854985,0.2036654959912842,0.44403971122391167,9.360731736903089e-05,0.09108197874154447
ml,kmeans_templates,action,medium,5000,selected,0.04882705051692684,0.04896870281320162,0.05,-0.28935046871473963,-2.3458989661463256,-0.13567670783655356,0.9765410103385367,0.2053713738918304,0.2051438063383102,0.04802005961537356,0.04802293851971624,True,1.0,1.0,5,0.0001120537948353442,0.07604918757458527,0.17027254677084416,5.0111980477728896e-05,0.034010230610081
ml,kmeans_templates,action,medium,25000,mean_trials,0.04892738033797721,0.04896870281320162,0.05,-0.08439124106629355,-2.145239324045595,-0.03993154470397269,0.9785476067595441,,,,,True,0.6,1.0,5,9.38520012037105e-05,0.08478323672743353,0.1779432728725569,4.197189090317775e-05,0.03791621613499963
ml,kmeans_templates,action,medium,25000,oracle,0.04933120242708018,0.04896870281320162,0.05,0.7402384090022223,-1.3375951458396484,0.3524008717144397,0.9866240485416036,,,,,False,0.0,0.0,5,7.069185434536411e-05,0.054595823614741225,0.09856475248130035,3.161435835434961e-05,0.024415994578029933
ml,kmeans_templates,action,medium,25000,selected,0.04899315643740018,0.04896870281320162,0.05,0.049943557294276394,-2.0136871251996453,0.023570842704456176,0.9798631287480035,0.2051397025585174,0.19157028496265407,0.049449925124645175,0.04945063591003412,True,0.4,1.0,5,8.654000131320251e-05,0.08207605970511611,0.17079519480560584,3.870186514184837e-05,0.03670552976519419
