dataset,noise_mode,noise_axis,noise_level,train_size,seed,reward,initial_reward,ctr,action_delta,context_delta,conv_dr,conv_sndr,metric,pct_vs_initial,pct_vs_ctr,restored_ctr,reward_over_ctr
ml,kmeans_templates,context,medium,50000,1,0.0494358710843875,0.0494402888742142,0.05,0.1983287334442138,0.1652465611696243,0.0514721982181072,0.0514787919819355,selected,-0.008935606824499835,-1.1282578312249991,-0.007892981974396862,0.98871742168775
ml,kmeans_templates,context,medium,50000,2,0.0495033699063063,0.0492065579942153,0.05,0.2080965489149093,0.2353972643613815,0.051182709634304,0.0511731132864952,selected,0.6031958425661352,-0.993260187387407,0.37408141984801724,0.990067398126126
ml,kmeans_templates,context,medium,50000,3,0.0493457475826108,0.0492010900159723,0.05,0.2110799849033355,0.2034302800893783,0.0502055659890174,0.0502042807638645,selected,0.294012930590641,-1.3085048347784012,0.1810686679733418,0.986914951652216
ml,kmeans_templates,context,medium,50000,4,0.0493981853253933,0.0493947719733825,0.05,0.202287808060646,0.2315338850021362,0.0474715009331703,0.0474678240716457,selected,0.006910350780933932,-1.2036293492134058,0.005639778497832773,0.9879637065078659
ml,kmeans_templates,context,medium,100000,0,0.0494368658673321,0.049136977115994,0.05,0.248069629073143,0.2678571939468384,0.0504679344594478,0.0504697412252426,selected,0.610311763033725,-1.1262682653358085,0.3474864420119064,0.9887373173466419
ml,kmeans_templates,context,medium,100000,1,0.049438954495785,0.0494402888742142,0.05,0.190938264131546,0.1719463467597961,0.0495868064463138,0.0495876967906951,selected,-0.0026989697260835785,-1.1220910084300122,-0.0023840484273560166,0.9887790899156998
ml,kmeans_templates,context,medium,100000,2,0.0493260949584833,0.0492065579942153,0.05,0.2245040088891983,0.1829003691673278,0.049865249544382,0.0498614013195037,selected,0.24292892886768247,-1.3478100830334043,0.1506562085149268,0.9865218991696659
ml,kmeans_templates,context,medium,100000,3,0.0493264533458884,0.0492010900159723,0.05,0.1922790557146072,0.1347435563802719,0.0497623197734355,0.0497597977519035,selected,0.2547978710947271,-1.3470933082232044,0.15691796625707352,0.986529066917768
ml,kmeans_templates,context,medium,100000,4,0.0495989183466783,0.0493947719733825,0.05,0.2276840955018997,0.1774525344371795,0.0486407727003097,0.0486261993646621,selected,0.4132955070747471,-0.8021633066433997,0.33730489058270813,0.991978366933566
ml,kmeans_templates,metadata,brutal,5000,0,0.0480038403835229,0.0483336438363672,0.05,0.2022015005350113,0.2257841676473617,0.0491629466414451,0.049180768430233,selected,-0.6823475878641485,-3.9923192329542054,-0.19791894436619112,0.960076807670458
ml,kmeans_templates,metadata,brutal,5000,1,0.048675302370564,0.0486852170264628,0.05,0.1922220289707183,0.1489621549844741,0.0389838181436061,0.0389405898749828,selected,-0.0203648181200696,-2.6493952588720058,-0.007540906825197614,0.97350604741128
ml,kmeans_templates,metadata,brutal,5000,2,0.0472357913632529,0.0471111837169598,0.05,0.2004680037498474,0.1915750950574875,0.0524672716856002,0.0525093264877796,selected,0.26449695478197677,-5.528417273494207,0.04313450011503101,0.944715827265058
ml,kmeans_templates,metadata,brutal,5000,3,0.04744942539969,0.0476569946382313,0.05,0.2198265492916107,0.2000803053379058,0.0538775250315666,0.053934272378683,selected,-0.43554831796881016,-5.101149200620005,-0.08859102156924281,0.9489885079938
ml,kmeans_templates,metadata,brutal,5000,4,0.0456284700588077,0.0468878473517264,0.05,0.2106758654117584,0.2423697113990783,0.0467260777950286,0.0467315837740898,selected,-2.685935405546683,-8.743059882384607,-0.40466437069444977,0.9125694011761539
ml,kmeans_templates,metadata,brutal,25000,0,0.0481030190017427,0.0483336438363672,0.05,0.220486432313919,0.1869662255048751,0.0488763004541397,0.0488473437726497,selected,-0.4771517649388839,-3.7939619965146054,-0.13840068507426276,0.962060380034854
ml,kmeans_templates,metadata,brutal,25000,1,0.0486792756766189,0.0486852170264628,0.05,0.1962018013000488,0.210280030965805,0.0460028648376464,0.0460577197372913,selected,-0.012203601435462131,-2.641448646762204,-0.004518882555890624,0.973585513532378
ml,kmeans_templates,metadata,brutal,25000,2,0.0471076866699836,0.0471111837169598,0.05,0.1926755756139755,0.2100209444761276,0.0480780899524688,0.0480764284729957,selected,-0.007422965632128508,-5.784626660032807,-0.0012105466854121086,0.9421537333996719
ml,kmeans_templates,metadata,brutal,25000,3,0.0476242346150996,0.0476569946382313,0.05,0.1904272884130478,0.1950415223836898,0.0513733401894569,0.0513223931193351,selected,-0.06874126952483893,-4.75153076980081,-0.013982052139639389,0.952484692301992
ml,kmeans_templates,metadata,brutal,25000,4,0.0470678339455191,0.0468878473517264,0.05,0.1941960304975509,0.200750857591629,0.0460775829851627,0.046072032302618,selected,0.3838661912596176,-5.864332108961811,0.05783347224068178,0.9413566789103819
ml,kmeans_templates,metadata,brutal,50000,0,0.0485314030435861,0.0483336438363672,0.05,0.2044051438570022,0.1795065253973007,0.0501983687281608,0.0501876696944236,selected,0.40915435196322303,-2.9371939128278037,0.1186776341906211,0.9706280608717219
ml,kmeans_templates,metadata,brutal,50000,1,0.0483225406456671,0.0486852170264628,0.05,0.2059643864631652,0.2124367207288742,0.0593180991709232,0.059379655867815,selected,-0.7449414893201922,-3.3549187086658048,-0.2758450543514265,0.966450812913342
ml,kmeans_templates,metadata,brutal,50000,2,0.0471280571545586,0.0471111837169598,0.05,0.1575553566217422,0.1211345046758651,0.0496864095330238,0.0496930666267871,selected,0.03581620385549905,-5.7438856908827995,0.005840952122108404,0.942561143091172
ml,kmeans_templates,metadata,brutal,50000,3,0.0477224327091842,0.0476569946382313,0.05,0.1029361635446548,0.0771122500300407,0.0489420555531978,0.0489427670836448,selected,0.13731052797106455,-4.555134581631606,0.02792911703091413,0.954448654183684
ml,kmeans_templates,metadata,brutal,50000,4,0.0468985402916538,0.0468878473517264,0.05,0.1612706333398819,0.152776300907135,0.0440231151878833,0.0440178215503692,selected,0.022805354758957036,-6.202919416692404,0.0034358661466464767,0.937970805833076
ml,kmeans_templates,metadata,brutal,100000,0,0.0484704657633248,0.0483336438363672,0.05,0.1897817254066467,0.1815531402826309,0.0487693846225738,0.0487683825194835,selected,0.28307803032771894,-3.0590684733503983,0.08210845312884336,0.969409315266496
ml,kmeans_templates,metadata,brutal,100000,1,0.0488211802641741,0.0486852170264628,0.05,0.1849484592676162,0.154630422592163,0.0508307851850986,0.0508246570825576,selected,0.27927006597792353,-2.3576394716518094,0.10341116400793636,0.9764236052834819
ml,kmeans_templates,metadata,brutal,100000,2,0.0475777303615668,0.0471111837169598,0.05,0.2111790627241134,0.1892849802970886,0.0461462438106536,0.0461489036679267,selected,0.9903097477023282,-4.844539276866399,0.1615009744115707,0.951554607231336
