dataset,noise_mode,noise_axis,noise_level,ctr,metric,n_train_small,n_train_large,R_at_n_small,R_at_n_large,reward_delta_large_minus_small,lift_pct_large_vs_small,slope_per_10k,restored_at_n_small,restored_at_n_large,restored_delta_large_minus_small,struggle_flat_learning,struggle_regress_learning,struggle_low_restore_at_large_n,struggle_learning
ml,kmeans_templates,combined,extreme,0.05,selected,5000,100000,0.0467265807993727,0.046803336158850684,7.675535947798684e-05,0.16426487486329683,7.526183813239028e-06,-0.020734638686077302,0.015174118788659884,0.03590875747473719,True,False,True,True
ml,kmeans_templates,combined,high,0.05,mean_trials,5000,100000,0.04704475506296474,0.04759112310118383,0.000546368038219093,1.1613792812563986,5.4459340693436775e-05,0.04177055417517912,0.2021473779185765,0.1603768237433974,False,False,True,True
ml,kmeans_templates,combined,high,0.05,oracle,5000,100000,0.048050990651859984,0.04892775602033606,0.0008767653684760776,1.8246561758287896,9.468965502798606e-05,0.375636897040895,0.6308490867249745,0.25521218968407955,False,False,False,False
ml,kmeans_templates,combined,high,0.05,selected,5000,100000,0.04707387472631184,0.04783409696226104,0.0007602222359492025,1.6149557272885335,7.229000331832618e-05,0.06890826657057858,0.2647714820315047,0.1958632154609261,False,False,False,False
ml,kmeans_templates,combined,low,0.05,mean_trials,5000,100000,0.049315284277165014,0.04934757524906951,3.2290971904498644e-05,0.0654786287411724,4.394488521390514e-06,0.07754999417006708,0.12028111926506116,0.04273112509499408,True,False,True,True
ml,kmeans_templates,combined,low,0.05,oracle,5000,100000,0.04957867097728918,0.04959412640989306,1.5455432603880825e-05,0.031173551648773713,5.61135784813004e-07,0.4323125195742601,0.4554939045963587,0.0231813850220986,True,False,False,True
ml,kmeans_templates,combined,low,0.05,selected,5000,100000,0.04937675362072223,0.04938594631571268,9.192694990445283e-06,0.018617455211934652,1.5243471222796342e-06,0.1518173390693671,0.16738371990192308,0.015566380832555987,True,False,True,True
ml,kmeans_templates,combined,medium,0.05,mean_trials,5000,100000,0.048345468520972705,0.048517126847324496,0.00017165832635179096,0.3550660105348323,2.202682915596228e-05,0.1005191752241196,0.18993035925227553,0.08941118402815593,True,False,True,True
ml,kmeans_templates,combined,medium,0.05,oracle,5000,100000,0.04914162083309444,0.049236136115775396,9.451528268095838e-05,0.19233244870365984,1.395057093492378e-05,0.5420401594122931,0.5857373985990406,0.043697239186747505,True,False,False,True
ml,kmeans_templates,combined,medium,0.05,selected,5000,100000,0.04855696443446666,0.04864703278821666,9.006835375000022e-05,0.18549008324348212,9.323535960988142e-06,0.20371206665623792,0.2650548453667583,0.06134277871052035,True,False,False,True
ml,kmeans_templates,context,brutal,0.05,mean_trials,5000,100000,0.04800436836320835,0.04810025508335046,9.588672014210903e-05,0.19974582191482143,8.080546308071273e-06,0.04283559293839941,0.05378672144282816,0.010951128504428746,True,False,True,True
ml,kmeans_templates,context,brutal,0.05,oracle,5000,100000,0.04901650105485004,0.04883382083762698,-0.00018268021722305655,-0.37269126374123535,-1.9907137957570187e-05,0.49775935489571593,0.39710403764297747,-0.10065531725273846,True,True,False,True
ml,kmeans_templates,context,brutal,0.05,selected,5000,100000,0.04698845443400236,0.04819828254897792,0.00120982811497556,2.5747348567823702,9.119924429850264e-05,-0.26891953293620413,0.13704383311654691,0.4059633660527511,False,False,True,True
ml,kmeans_templates,context,extreme,0.05,mean_trials,5000,100000,0.048356701104238405,0.04851535498778377,0.00015865388354536353,0.32809079180849604,1.7277905734133664e-05,0.05741679388935084,0.09721663469264799,0.039799840803297154,True,False,True,True
ml,kmeans_templates,context,extreme,0.05,oracle,5000,100000,0.04918222109619524,0.049445344543110795,0.00026312344691555717,0.5349970803492495,3.4654947996161345e-05,0.4961400791602856,0.5876740135363636,0.09153393437607804,False,False,False,False
ml,kmeans_templates,context,extreme,0.05,selected,5000,100000,0.04757437362269886,0.048257747984805435,0.0006833743621065744,1.4364337563879566,5.081106103243158e-05,-0.19130138676980338,0.04290935241852665,0.23421073918833002,False,False,True,True
ml,kmeans_templates,context,high,0.05,mean_trials,5000,100000,0.0488632454861272,0.04899785262049132,0.00013460713436411892,0.2754772693155131,1.3749824064920531e-05,0.001077861747865541,0.09194832620175791,0.09087046445389237,True,False,True,True
ml,kmeans_templates,context,high,0.05,oracle,5000,100000,0.0495342440735553,0.04960371214676252,6.946807320722115e-05,0.1402425221308825,1.483607956421505e-05,0.5715958623056537,0.5879015963450321,0.016305734039378406,True,False,False,True
ml,kmeans_templates,context,high,0.05,selected,5000,100000,0.04829469005010244,0.049085646035896977,0.0007909559857945392,1.6377700839864102,7.385018776626623e-05,-0.3261090002261975,0.21943851746192844,0.5455475176881259,False,False,True,True
ml,kmeans_templates,context,low,0.05,mean_trials,5000,100000,0.049480995204407865,0.04941589190372893,-6.510330067893699e-05,-0.13157233481257358,-5.022309437658263e-06,0.07611008146945715,-0.03667174268015904,-0.11278182414961618,True,False,True,True
ml,kmeans_templates,context,low,0.05,oracle,5000,100000,0.04970979819371612,0.0496380038333855,-7.179436033061953e-05,-0.14442698007109422,-5.977217803414514e-06,0.48252332380842633,0.3636620122098724,-0.11886131159855395,True,False,False,True
ml,kmeans_templates,context,low,0.05,selected,5000,100000,0.0494180478137099,0.04949663171945226,7.858390574236318e-05,0.15901863634637928,4.2246708997551744e-05,-0.025614414845140432,0.11217147118079959,0.13778588602594002,True,False,True,True
ml,kmeans_templates,context,medium,0.05,mean_trials,5000,100000,0.04928883625664692,0.04938715497895106,9.831872230414013e-05,0.1994746270579298,1.129519998085637e-05,0.011297615893136761,0.15982546491456678,0.14852784902143001,True,False,True,True
ml,kmeans_templates,context,medium,0.05,oracle,5000,100000,0.049687895283516505,0.049680037766171345,-7.85751734515977e-06,-0.015813745581947456,3.0258826767535247e-06,0.5598598638795267,0.5638614895759891,0.004001625696462452,True,False,False,True
ml,kmeans_templates,context,medium,0.05,selected,5000,100000,0.04929278656116302,0.04942545740283342,0.00013267084167040144,0.26914859338654357,1.6670985671927617e-05,0.023630138117923832,0.19799629178785177,0.17436615366992794,True,False,True,True
ml,kmeans_templates,metadata,brutal,0.05,mean_trials,5000,100000,0.04771475774292898,0.04809584217614062,0.0003810844332116439,0.7986720487292387,3.259843666265533e-05,-0.018362083538431502,0.14369415399700575,0.16205623753543724,False,False,True,True
ml,kmeans_templates,metadata,brutal,0.05,oracle,5000,100000,0.04835902706414968,0.04908169537781384,0.0007226683136641598,1.4943814165357772,5.418417423046952e-05,0.2615974270928089,0.5667830697614189,0.30518564266861,False,False,False,False
ml,kmeans_templates,metadata,brutal,0.05,selected,5000,100000,0.0473985659151675,0.04806421031921988,0.0006656444040523818,1.404355577431882,6.309644585977791e-05,-0.13111614866801005,0.1297595353671132,0.2608756840351233,False,False,True,True
ml,kmeans_templates,metadata,extreme,0.05,mean_trials,5000,100000,0.048551519219549456,0.04871336960593652,0.00016185038638706628,0.3333580266668496,1.9580035733364515e-05,0.04596989869779011,0.15687633289570252,0.1109064341979124,True,False,True,True
ml,kmeans_templates,metadata,extreme,0.05,oracle,5000,100000,0.0491491179296448,0.04943415666054276,0.00028503873089796156,0.5799467882739713,3.816250154538613e-05,0.4495704185232195,0.626368328175118,0.1767979096518985,False,False,False,False
ml,kmeans_templates,metadata,extreme,0.05,selected,5000,100000,0.04859451594711882,0.04854147387980706,-5.3042067311756536e-05,-0.10915237301566622,-8.062565238872421e-07,0.095690398969308,0.03977386645726302,-0.05591653251204499,True,False,True,True
ml,kmeans_templates,metadata,high,0.05,mean_trials,5000,100000,0.04907640440570656,0.049104664098083985,2.8259692377421985e-05,0.05758305385171203,-1.7786131307880185e-06,-0.07710383102996066,-0.058809813629617215,0.01829401740034344,True,False,True,True
ml,kmeans_templates,metadata,high,0.05,oracle,5000,100000,0.049472337526826,0.04943637721610764,-3.596031071835537e-05,-0.07268771300498215,-6.16175206719367e-06,0.39323001930218154,0.32455629398251273,-0.06867372531966881,True,False,False,True
ml,kmeans_templates,metadata,high,0.05,selected,5000,100000,0.04912901401818552,0.04920439738195392,7.538336376839566e-05,0.15343960239155596,4.7639993109961996e-06,-0.042302668793071665,0.057957014737516445,0.10025968353058812,True,False,True,True
ml,kmeans_templates,metadata,low,0.05,mean_trials,5000,100000,0.049541241104653064,0.049514581414189,-2.6659690464066188e-05,-0.05381312593228963,2.526979916420525e-07,-0.052410562195383634,-0.11343062946813132,-0.06102006727274768,True,False,True,True
ml,kmeans_templates,metadata,low,0.05,oracle,5000,100000,0.0497353951777382,0.04970749450876598,-2.790066897222221e-05,-0.05609821510920794,-5.243688181062956e-07,0.3929701485088483,0.3292933067852445,-0.06367684172360383,True,False,False,True
ml,kmeans_templates,metadata,low,0.05,selected,5000,100000,0.04953728883813442,0.04946675115643118,-7.053768170324493e-05,-0.14239310095013544,-1.756003111952907e-08,-0.0622138180032614,-0.22374685209271158,-0.1615330340894502,True,False,True,True
ml,kmeans_templates,metadata,medium,0.05,mean_trials,5000,100000,0.04940677590512764,0.04938575083026103,-2.1025074866606874e-05,-0.0425550432737806,-1.833183636762762e-06,0.020894219532757385,-0.017711717936669376,-0.03860593746942676,True,False,True,True
ml,kmeans_templates,metadata,medium,0.05,oracle,5000,100000,0.04963773644042524,0.04962496221624964,-1.2774224175601812e-05,-0.02573490471495073,1.2208283964500673e-06,0.40273033233778577,0.37575369449435814,-0.02697663784342763,True,False,False,True
ml,kmeans_templates,metadata,medium,0.05,selected,5000,100000,0.0494265331620331,0.04943742247677334,1.0889314740240852e-05,0.0220313140404625,2.141316190072405e-06,0.04542931888407045,0.05728359397332218,0.011854275089251728,True,False,True,True
