scope,metric,train_size,n_cells,mean_reward,mean_logging_reward,mean_restored_ctr,mean_pct_vs_logging,frac_struggle,frac_worse_than_logging,frac_low_restore
level=low,oracle,50000,4,0.049668830592095196,0.04941830073200257,0.42744234403312265,0.5072019613881433,0.0,0.0,0.0
level=medium,oracle,50000,4,0.04945232756069134,0.04895070870824765,0.46452496645477337,1.030977582501176,0.0,0.0,0.0
all,oracle,100000,20,0.049095138883434426,0.04834466399554957,0.4432795242280876,1.5749935154326251,0.05,0.0,0.0
axis=action,oracle,100000,5,0.04881601542216902,0.04817510725013254,0.3750009597096004,1.341693170477968,0.2,0.0,0.0
axis=combined,oracle,100000,5,0.048667419090261274,0.047614204771747035,0.45352556870097266,2.2370824482615577,0.0,0.0,0.0
axis=context,oracle,100000,5,0.04944018382541143,0.04872548403788305,0.500040629862047,1.4891670210915495,0.0,0.0,0.0
axis=metadata,oracle,100000,5,0.049456937195895966,0.04886385992243565,0.4445509386397305,1.232031421899425,0.0,0.0,0.0
level=brutal,oracle,100000,4,0.048366965679290726,0.04736142250415731,0.3799891341260847,2.1361945453342126,0.25,0.0,0.0
level=extreme,oracle,100000,4,0.04870369155854786,0.04768088014711353,0.46327666553029623,2.1549175190839094,0.0,0.0,0.0
level=high,oracle,100000,4,0.049273439981713976,0.04831200788622676,0.503271741956728,2.0231820936997416,0.0,0.0,0.0
level=low,oracle,100000,4,0.04964470549402494,0.04941830073200257,0.38202009265475756,0.45845216082277324,0.0,0.0,0.0
level=medium,oracle,100000,4,0.049486891703594604,0.04895070870824765,0.4878399868725717,1.1022212582224888,0.0,0.0,0.0
all,selected,5000,20,0.04825301850747573,0.04834466399554957,-0.031460025075623156,-0.19454875280469372,1.0,0.6,1.0
axis=action,selected,5000,5,0.048175406274428186,0.04817510725013254,-0.013340635836813641,0.0034510694010804533,1.0,0.6,1.0
axis=combined,selected,5000,5,0.04770581368301156,0.047614204771747035,0.06406595838839828,0.19048205032167204,1.0,0.4,1.0
axis=context,selected,5000,5,0.04831367049633531,0.04872548403788305,-0.15766283933188432,-0.8722975967380198,1.0,0.8,1.0
axis=metadata,selected,5000,5,0.048817183576127875,0.04886385992243565,-0.018902583522192935,-0.09983053420350776,1.0,0.6,1.0
level=brutal,selected,5000,4,0.04706012918907429,0.04736142250415731,-0.10227790472157566,-0.6422286608752484,1.0,0.75,1.0
level=extreme,selected,5000,4,0.047540297391317335,0.04768088014711353,-0.03487965303921373,-0.29908703527535263,1.0,0.75,1.0
level=high,selected,5000,4,0.04819455343476395,0.04831200788622676,-0.08211037910245485,-0.24137200219041197,1.0,0.75,1.0
level=low,selected,5000,4,0.04944427885357569,0.04941830073200257,0.02769410752970882,0.05285728636510463,1.0,0.5,1.0
level=medium,selected,5000,4,0.049025833668647406,0.04895070870824765,0.03427370395541966,0.15708664795243965,1.0,0.25,1.0
all,selected,25000,20,0.048363825221308936,0.04834466399554957,-0.0712411907736944,0.04531549848996521,1.0,0.4,1.0
axis=action,selected,25000,5,0.04814110657911368,0.04817510725013254,-0.009813053354984957,-0.07140573415240338,1.0,0.6,1.0
axis=combined,selected,25000,5,0.04782902110100688,0.047614204771747035,0.10535356552223454,0.451592945728476,1.0,0.0,1.0
axis=context,selected,25000,5,0.04864548773555966,0.04872548403788305,-0.30099851721516346,-0.15113502244221108,1.0,0.6,1.0
